,epoch,acuracy,auroc
0,1,55.0,62.55969999999999
1,2,54.3,60.7457
2,3,67.0,67.1807
3,4,66.4,66.0443
4,5,72.0,69.1871
5,6,77.9,72.2824
6,7,79.4,73.86359999999999
7,8,84.4,78.87630000000001
8,9,86.3,76.727
9,10,84.1,77.47599999999998
10,11,86.0,76.9143
11,12,89.0,80.37899999999999
12,13,91.3,82.18630000000002
13,14,89.1,81.8607
14,15,89.9,83.0017
15,16,88.1,82.668
16,17,90.3,83.60889999999999
17,18,90.4,80.1195
18,19,86.9,79.4284
19,20,90.4,83.44699999999999
20,21,91.7,83.8714
21,22,92.1,84.68299999999999
22,23,93.5,87.13229999999999
23,24,91.7,86.4984
24,25,92.6,84.7317
25,26,91.7,84.5072
26,27,91.0,83.304
27,28,92.5,86.2336
28,29,92.7,87.25840000000001
29,30,92.7,85.5965
30,31,92.3,85.906
31,32,93.7,84.7426
32,33,92.2,84.65819999999998
33,34,94.0,89.1259
34,35,92.6,86.7466
35,36,92.3,85.2381
36,37,94.1,86.41760000000001
37,38,93.1,86.2886
38,39,93.8,88.2967
39,40,95.2,86.9692
40,41,94.1,87.33500000000001
41,42,94.0,88.6396
42,43,87.7,82.8102
43,44,93.8,88.379
44,45,92.8,85.7199
45,46,93.3,86.98310000000001
46,47,93.9,89.58789999999999
47,48,94.0,87.13940000000001
48,49,94.3,89.9027
49,50,95.4,88.2617
50,51,92.0,85.74600000000001
51,52,94.4,89.53099999999999
52,53,95.5,90.0018
53,54,95.0,88.0798
54,55,95.0,88.7905
55,56,95.4,87.0768
56,57,94.4,89.4103
57,58,95.2,88.97590000000001
58,59,93.7,88.10719999999999
59,60,92.3,87.6951
60,61,94.1,89.9416
61,62,94.1,88.1149
62,63,93.3,87.656
63,64,94.4,87.8352
64,65,93.8,87.70510000000002
65,66,92.9,86.4174
66,67,94.3,89.2796
67,68,94.4,87.7626
68,69,95.4,90.798
69,70,94.8,89.64979999999998
70,71,95.0,89.741
71,72,93.3,88.7727
72,73,92.8,84.94299999999998
73,74,93.1,87.0621
74,75,93.6,83.2739
75,76,95.0,87.28930000000001
76,77,94.7,87.38289999999999
77,78,94.5,88.76469999999999
78,79,95.1,89.5697
79,80,94.4,90.5621
80,81,94.7,89.094
81,82,94.2,88.37119999999999
82,83,93.6,88.80389999999998
83,84,95.3,90.6715
84,85,94.1,88.74199999999999
85,86,92.3,87.12020000000001
86,87,94.0,87.0014
87,88,94.4,89.81890000000001
88,89,94.5,89.8782
89,90,94.8,89.01969999999999
90,91,94.8,91.1584
91,92,95.2,89.88109999999999
92,93,96.1,89.7624
93,94,95.0,89.9867
94,95,94.2,88.48179999999999
95,96,94.6,88.25
96,97,94.7,88.70420000000001
97,98,95.1,89.6363
98,99,94.3,88.9833
99,100,94.1,91.0575
100,101,95.2,90.1446
101,102,94.7,90.07330000000002
102,103,95.1,89.6195
103,104,95.1,90.4216
104,105,94.7,87.4004
105,106,94.4,89.0583
106,107,95.1,90.6724
107,108,93.1,88.3911
108,109,93.5,89.0959
109,110,95.3,90.03229999999999
110,111,96.4,90.6599
111,112,94.8,91.19089999999998
112,113,95.4,89.9153
113,114,92.7,87.43649999999998
114,115,93.4,89.6277
115,116,95.8,90.4643
116,117,95.4,90.0032
117,118,95.1,91.0184
118,119,95.0,91.57439999999998
119,120,95.2,88.49589999999999
120,121,94.9,88.56929999999998
121,122,93.6,89.21270000000001
122,123,93.8,89.0739
123,124,93.8,89.8747
124,125,94.9,91.2904
125,126,94.6,90.3434
126,127,94.6,90.8686
127,128,94.7,90.4712
128,129,95.4,91.7045
129,130,93.0,87.89280000000002
130,131,96.4,91.9268
131,132,95.9,89.84219999999999
132,133,94.8,88.37329999999999
133,134,95.7,89.8559
134,135,96.1,91.7298
135,136,95.3,90.8363
136,137,94.2,90.507
137,138,94.5,90.1735
138,139,95.1,90.5188
139,140,95.3,90.1866
140,141,96.6,90.7581
141,142,92.8,86.5488
142,143,95.2,88.6997
143,144,95.2,91.0679
144,145,94.2,90.1769
145,146,95.5,90.6107
146,147,95.7,91.0213
147,148,94.1,88.3901
148,149,95.2,89.01639999999999
149,150,95.1,91.0343
150,151,94.3,90.08
151,152,94.6,90.6557
152,153,95.3,88.3141
153,154,94.8,89.6479
154,155,94.4,87.3143
155,156,94.4,90.2622
156,157,95.3,88.9573
157,158,95.2,91.4934
158,159,94.4,88.8683
159,160,94.0,88.98849999999999
160,161,95.4,90.935
161,162,95.3,87.5167
162,163,95.7,90.6816
163,164,95.9,90.2315
164,165,96.0,89.1099
165,166,94.7,87.747
166,167,95.2,90.3234
167,168,94.9,90.7743
168,169,95.9,90.2292
169,170,95.7,90.8374
170,171,95.3,90.2058
171,172,96.1,89.747
172,173,95.5,91.4245
173,174,95.3,90.6622
174,175,94.0,90.3614
175,176,94.9,90.9106
176,177,95.5,90.8752
177,178,93.8,87.1489
178,179,95.3,90.3505
179,180,95.5,89.85049999999998
180,181,93.6,91.3331
181,182,93.0,86.72489999999999
182,183,95.1,91.1867
183,184,94.8,91.1121
184,185,95.1,90.4176
185,186,95.3,91.6929
186,187,95.1,91.2034
187,188,95.5,90.3813
188,189,95.2,90.6257
189,190,95.6,89.2451
190,191,96.2,91.2029
191,192,95.4,90.8907
192,193,94.0,88.94789999999999
193,194,96.4,89.3985
194,195,95.3,90.1822
195,196,95.7,90.0762
196,197,94.8,88.01610000000001
197,198,96.3,90.1906
198,199,94.9,88.795
199,200,96.2,91.36520000000002
200,201,93.6,88.4164
201,202,96.0,90.92520000000002
202,203,95.1,89.5062
203,204,94.5,89.80550000000001
204,205,95.3,90.9343
205,206,94.9,89.37389999999999
206,207,95.3,90.6469
207,208,95.0,90.527
208,209,96.2,91.2612
209,210,96.1,91.5699
210,211,94.5,90.6354
211,212,95.2,90.8188
212,213,95.4,91.8796
213,214,96.2,90.5827
214,215,95.7,90.987
215,216,95.8,91.1263
216,217,96.2,90.1831
217,218,95.2,88.4013
218,219,95.9,91.9362
219,220,96.1,91.7345
220,221,96.5,90.3591
221,222,94.9,89.3678
222,223,94.5,88.7442
223,224,94.5,89.16420000000001
224,225,94.8,90.1347
225,226,96.3,90.6909
226,227,94.9,90.9425
227,228,96.3,90.9064
228,229,95.8,90.4423
229,230,93.6,88.85210000000001
230,231,95.8,90.5376
231,232,96.2,92.2589
232,233,95.4,90.4395
233,234,96.5,90.4399
234,235,95.4,91.6021
235,236,96.6,90.7172
236,237,95.0,89.10910000000001
237,238,94.8,90.7566
238,239,95.1,90.5799
239,240,96.4,89.822
240,241,95.6,88.8006
241,242,95.5,90.756
242,243,96.3,90.02250000000001
243,244,95.8,91.1634
244,245,95.6,91.0441
245,246,96.3,91.5923
246,247,95.9,91.2468
247,248,93.7,88.2654
248,249,94.7,90.8094
249,250,96.6,92.5251
250,251,95.4,90.8458
251,252,95.5,90.9485
252,253,94.7,89.7714
253,254,96.1,90.6237
254,255,95.6,91.8572
255,256,95.3,90.7022
256,257,94.6,88.68790000000001
257,258,96.8,91.4005
258,259,94.5,90.3364
259,260,94.3,89.28040000000001
260,261,95.6,91.3682
261,262,95.7,89.6633
262,263,95.2,90.7167
263,264,94.0,88.66579999999999
264,265,95.5,91.8378
265,266,95.4,92.576
266,267,95.4,89.33709999999999
267,268,95.6,90.9618
268,269,96.1,90.9131
269,270,95.6,89.3467
270,271,93.2,87.9768
271,272,94.9,89.473
272,273,94.5,91.1474
273,274,94.2,88.03510000000001
274,275,94.9,88.342
275,276,96.1,91.2569
276,277,96.3,89.6976
277,278,96.4,91.9315
278,279,94.1,86.55919999999999
279,280,95.8,90.7498
280,281,95.2,89.0999
281,282,95.0,91.5358
282,283,95.9,91.6424
283,284,96.1,90.7326
284,285,94.4,89.1978
285,286,95.6,89.6708
286,287,94.6,90.3386
287,288,94.0,90.2504
288,289,94.7,91.867
289,290,95.4,90.8998
290,291,94.6,89.97990000000001
291,292,94.8,89.5883
292,293,95.9,90.5949
293,294,93.1,87.5325
294,295,95.3,89.4093
295,296,94.8,91.219
296,297,96.5,89.8378
297,298,94.0,90.0309
298,299,96.3,90.9653
299,300,96.1,92.4868
300,301,95.7,90.5819
301,302,96.7,90.6987
302,303,93.3,89.06429999999999
303,304,92.5,88.1342
304,305,90.6,85.7435
305,306,95.1,89.5129
306,307,95.3,91.0156
307,308,96.9,89.2779
308,309,95.4,91.8749
309,310,96.2,90.5836
310,311,96.2,90.1372
311,312,95.6,89.07740000000001
312,313,96.2,91.0304
