,epoch,acuracy,auroc
0,1,49.4,60.7875
1,2,60.5,62.3986
2,3,68.4,66.02459999999999
3,4,70.1,65.8027
4,5,69.9,66.7545
5,6,77.9,74.34920000000001
6,7,78.6,72.5649
7,8,77.7,70.2572
8,9,85.5,79.0613
9,10,84.5,78.2406
10,11,87.8,77.06
11,12,88.1,79.009
12,13,89.9,82.49650000000001
13,14,89.2,82.3757
14,15,88.9,79.74180000000001
15,16,89.7,83.06790000000001
16,17,90.1,82.53699999999999
17,18,91.0,84.9215
18,19,91.9,84.756
19,20,92.2,83.4957
20,21,93.0,85.42830000000001
21,22,92.4,87.18350000000001
22,23,92.8,86.9047
23,24,87.9,77.46079999999999
24,25,92.7,86.25460000000001
25,26,93.1,87.0669
26,27,93.2,86.664
27,28,94.0,88.4683
28,29,94.1,87.72310000000002
29,30,91.1,82.8118
30,31,91.9,86.89829999999999
31,32,93.2,85.87400000000001
32,33,92.3,86.10719999999999
33,34,93.2,88.60860000000001
34,35,92.6,88.0446
35,36,92.4,87.48190000000001
36,37,91.7,85.9764
37,38,94.7,86.86120000000001
38,39,95.6,87.74860000000001
39,40,92.6,85.01590000000002
40,41,93.0,86.3168
41,42,94.3,88.1854
42,43,94.5,88.14140000000002
43,44,94.3,88.10530000000001
44,45,93.6,86.7817
45,46,95.1,89.38990000000001
46,47,95.3,87.3762
47,48,93.8,88.748
48,49,94.2,88.1107
49,50,94.2,87.4826
50,51,94.8,88.6473
51,52,94.6,89.89869999999999
52,53,95.4,88.5526
53,54,92.9,86.4746
54,55,94.6,91.36
55,56,95.3,88.65450000000001
56,57,94.3,86.47409999999999
57,58,94.2,88.7502
58,59,94.3,89.9732
59,60,95.1,89.24770000000001
60,61,93.0,87.4611
61,62,93.0,88.90930000000002
62,63,94.6,89.63310000000001
63,64,94.5,90.0408
64,65,93.5,87.0967
65,66,94.5,90.0211
66,67,95.5,88.5343
67,68,93.8,90.2083
68,69,94.7,88.08309999999999
69,70,94.4,89.51010000000001
70,71,93.4,85.59810000000002
71,72,94.0,89.4093
72,73,95.2,89.7638
73,74,94.1,89.4667
74,75,95.5,89.85010000000001
75,76,93.2,89.2321
76,77,95.5,88.2065
77,78,95.7,89.9178
78,79,93.4,88.5794
79,80,96.4,89.056
80,81,93.0,89.0438
81,82,95.4,90.5346
82,83,94.4,89.03960000000001
83,84,96.1,89.98590000000002
84,85,94.7,89.26620000000001
85,86,94.7,89.8985
86,87,95.3,90.357
87,88,94.7,87.9147
88,89,95.2,89.10490000000001
89,90,94.3,86.1071
90,91,95.8,90.3346
91,92,95.1,89.6842
92,93,94.3,87.359
93,94,95.5,90.474
94,95,95.4,89.7741
95,96,95.2,89.3169
96,97,95.0,90.0163
97,98,94.0,87.07239999999999
98,99,95.8,90.9873
99,100,94.6,89.39009999999999
100,101,94.7,88.815
101,102,93.6,89.46479999999998
102,103,94.9,88.71100000000001
103,104,95.6,88.6435
104,105,95.8,89.8493
105,106,95.0,88.3023
106,107,95.0,89.33409999999999
107,108,95.1,90.06320000000001
108,109,96.1,90.8052
109,110,95.3,90.2181
110,111,95.0,90.3358
111,112,94.1,89.89970000000001
112,113,94.3,89.82770000000001
113,114,95.1,90.9275
114,115,95.3,90.7921
115,116,94.3,90.6573
116,117,94.7,90.9345
117,118,94.2,88.96050000000001
118,119,95.7,90.2609
119,120,96.0,90.4886
120,121,95.3,92.0001
121,122,95.5,91.1944
122,123,95.8,90.242
123,124,95.1,91.1128
124,125,95.2,89.8439
125,126,95.7,88.88669999999999
126,127,94.7,90.1976
127,128,96.0,89.1745
128,129,96.1,90.4094
129,130,95.1,90.4227
130,131,95.6,90.9389
131,132,94.8,89.61330000000001
132,133,93.5,90.2211
133,134,95.5,89.8743
134,135,94.9,89.91019999999999
135,136,95.4,90.81810000000002
136,137,95.4,89.88479999999998
137,138,93.8,89.0009
138,139,96.1,89.3216
139,140,95.8,91.0399
140,141,94.8,90.9499
141,142,95.5,90.6441
142,143,94.7,89.8432
143,144,94.3,89.28120000000001
144,145,96.2,91.285
145,146,94.6,89.96849999999999
146,147,94.9,90.2121
147,148,93.5,90.2266
148,149,96.5,91.7606
149,150,93.7,88.8282
150,151,94.9,90.4399
151,152,93.0,88.6271
152,153,95.3,89.9681
153,154,95.1,88.6832
154,155,96.3,91.651
155,156,95.7,90.676
156,157,94.1,90.851
157,158,96.2,90.0785
158,159,95.3,90.5284
159,160,95.6,90.4469
160,161,96.2,90.2083
161,162,94.8,88.58749999999999
162,163,97.2,90.8047
163,164,95.6,90.9738
164,165,94.1,87.7954
165,166,95.2,90.0637
166,167,94.9,91.4593
167,168,95.9,90.7772
168,169,95.8,91.5202
169,170,95.6,89.3246
170,171,94.8,89.93639999999999
171,172,95.6,91.0727
172,173,94.8,90.583
173,174,94.6,90.3013
174,175,94.7,89.93910000000001
175,176,94.5,88.86480000000002
176,177,94.8,85.9441
177,178,94.6,91.00339999999998
178,179,95.0,90.273
179,180,96.4,91.5616
180,181,95.6,90.8763
181,182,96.0,89.4346
182,183,95.6,91.142
183,184,95.5,91.374
184,185,96.1,92.1836
185,186,95.4,89.608
186,187,95.5,91.5038
